Year,Month,DayofMonth,DepTime,ArrTime,AirTime,Origin,Dest,Distance,Price,Weather
2008,1,3,1955,2225,150.0,IAD,TPA,810,1720.3863927173193,0
2008,1,3,735,1000,145.0,IAD,TPA,810,1166.798786266876,1
2008,1,3,620,750,90.0,IND,BWI,515,1051.4914406405564,0
2008,1,3,930,1100,90.0,IND,BWI,515,1861.4602905522386,0
2008,1,3,1755,1925,90.0,IND,BWI,515,901.1507016801929,1
2008,1,3,1915,2110,115.0,IND,JAX,688,423.35838187530675,1
2008,1,3,1830,1940,70.0,IND,LAS,1591,958.2929700421591,0
2008,1,3,1040,1150,70.0,IND,LAS,1591,191.6360732213173,1
2008,1,3,615,650,35.0,IND,MCI,451,1392.7488487675562,0
2008,1,3,1620,1655,35.0,IND,MCI,451,1706.0036004809817,1
2008,1,3,700,915,135.0,IND,MCO,828,725.5953487635479,0
2008,1,3,1510,1725,135.0,IND,MCO,828,1516.8694890402119,0
2008,1,3,1430,1425,-5.0,IND,MDW,162,796.7693114422947,0
2008,1,3,715,710,-5.0,IND,MDW,162,1128.5158841352888,0
2008,1,3,1700,1655,1435.0,IND,MDW,162,449.7372974737245,1
2008,1,3,1020,1010,-10.0,IND,MDW,162,120.61401186472192,1
2008,1,3,1425,1625,120.0,IND,PHX,1489,769.4243990711005,1
2008,1,3,745,955,130.0,IND,PHX,1489,449.7410890798821,0
2008,1,3,1255,1510,135.0,IND,TPA,838,981.8188093981374,1
2008,1,3,1325,1435,70.0,ISP,BWI,220,1844.16753029176,1
2008,1,3,705,810,65.0,ISP,BWI,220,1645.4883232566328,0
2008,1,3,1625,1735,70.0,ISP,BWI,220,1269.476687226144,1
2008,1,3,1840,1950,70.0,ISP,BWI,220,1228.793071291869,0
2008,1,3,1030,1140,70.0,ISP,BWI,220,953.8098935359845,0
2008,1,3,800,910,70.0,ISP,BWI,220,1549.2309388219985,0
2008,1,3,1455,1605,70.0,ISP,BWI,220,354.09829010486044,1
2008,1,3,1255,1610,195.0,ISP,FLL,1093,1212.225289818336,1
2008,1,3,1925,2235,190.0,ISP,FLL,1093,773.8593667814159,1
2008,1,3,635,945,190.0,ISP,FLL,1093,563.640281045395,0
2008,1,3,730,1020,170.0,ISP,LAS,2283,1725.01951268119,1
2008,1,3,1945,2230,165.0,ISP,MCO,972,366.8455961858231,1
2008,1,3,1005,1255,170.0,ISP,MCO,972,161.32981722405015,1
2008,1,3,710,1000,170.0,ISP,MCO,972,1065.673397770291,0
2008,1,3,1300,1550,170.0,ISP,MCO,972,649.1414947347208,0
2008,1,3,1430,1720,170.0,ISP,MCO,972,1087.8230952593979,0
2008,1,3,1555,1845,170.0,ISP,MCO,972,934.8448874550793,1
2008,1,3,830,955,85.0,ISP,MDW,765,642.404339480673,1
2008,1,3,1650,1815,85.0,ISP,MDW,765,1746.3918470684716,1
2008,1,3,1105,1230,85.0,ISP,MDW,765,1027.430297718009,0
2008,1,3,1355,1520,85.0,ISP,MDW,765,1752.7107511285549,0
2008,1,3,1230,1530,180.0,ISP,PBI,1052,1771.5338007171913,0
2008,1,3,1725,2030,185.0,ISP,PBI,1052,1218.2782589419448,0
2008,1,3,720,1020,180.0,ISP,PBI,1052,240.8803036852708,0
2008,1,3,640,955,195.0,ISP,RSW,1101,1961.342460936802,1
2008,1,3,1140,1440,180.0,ISP,TPA,1034,1073.9196017730349,0
2008,1,3,1510,1810,180.0,ISP,TPA,1034,1078.6375206934579,0
2008,1,3,635,935,180.0,ISP,TPA,1034,1739.9913301999238,1
2008,1,3,830,1140,190.0,JAN,BWI,888,197.36499187962366,0
2008,1,3,1435,1745,190.0,JAN,BWI,888,1210.2634594501606,1
2008,1,3,1730,1850,80.0,JAN,HOU,359,834.6240348110938,1
2008,1,3,615,735,80.0,JAN,HOU,359,1333.1488763818802,1
2008,1,3,1145,1305,80.0,JAN,HOU,359,1001.2911093922125,1
2008,1,3,1940,2100,80.0,JAN,HOU,359,1498.4284751622247,0
2008,1,3,945,1225,160.0,JAN,MCO,587,1888.600691736392,0
2008,1,3,1850,2045,115.0,JAN,MDW,666,1483.4643126246772,0
2008,1,3,700,900,120.0,JAN,MDW,666,1659.183465093662,1
2008,1,3,925,940,15.0,JAX,BHM,365,1869.9148749636063,0
2008,1,3,620,655,35.0,JAX,BNA,484,135.95014943636596,0
2008,1,3,1040,1110,30.0,JAX,BNA,484,538.6785400474173,1
2008,1,3,1535,1610,35.0,JAX,BNA,484,940.0554892231937,1
2008,1,3,1915,1950,35.0,JAX,BNA,484,1996.2430247983375,1
2008,1,3,1055,1240,105.0,JAX,BWI,663,539.2723618214591,0
2008,1,3,1440,1625,105.0,JAX,BWI,663,1597.3510494091522,0
2008,1,3,2010,2155,105.0,JAX,BWI,663,1318.862109261705,1
2008,1,3,2130,2240,70.0,JAX,FLL,318,877.3307709195088,0
2008,1,3,1500,1615,75.0,JAX,FLL,318,1779.9990156101653,1
2008,1,3,850,1000,70.0,JAX,FLL,318,754.5790962248296,0
2008,1,3,645,755,70.0,JAX,FLL,318,460.2873809688979,0
2008,1,3,1220,1330,70.0,JAX,FLL,318,1454.044660533922,1
2008,1,3,1730,1840,70.0,JAX,FLL,318,1138.1585505929838,1
2008,1,3,1735,1905,90.0,JAX,HOU,816,138.51078798215846,0
2008,1,3,750,955,125.0,JAX,IND,688,967.6282351430726,0
2008,1,3,1825,1955,90.0,JAX,ORF,543,869.735918847335,0
2008,1,3,820,945,85.0,JAX,ORF,543,1320.0527808538995,0
2008,1,3,1650,1905,135.0,JAX,PHL,742,60.32873285805854,0
2008,1,3,700,915,135.0,JAX,PHL,742,1792.5302322928958,0
2008,1,3,1310,1400,50.0,JAX,TPA,180,166.06537214398594,0
2008,1,3,900,950,50.0,JAX,TPA,180,1861.0140497278808,1
2008,1,3,1850,1945,55.0,JAX,TPA,180,859.2095454293477,1
2008,1,3,1445,1710,145.0,LAS,ABQ,487,389.82585593445805,1
2008,1,3,935,1200,145.0,LAS,ABQ,487,1595.5767020937958,0
2008,1,3,2125,2345,140.0,LAS,ABQ,487,1707.729977659278,1
2008,1,3,1230,1500,150.0,LAS,ABQ,487,1118.6821475587958,0
2008,1,3,625,850,145.0,LAS,ABQ,487,808.8433205988126,0
2008,1,3,1600,1825,145.0,LAS,ABQ,487,321.75623932951123,1
2008,1,3,1915,2140,145.0,LAS,ABQ,487,797.3385569521283,1
2008,1,3,1655,30,455.0,LAS,ALB,2237,1400.491259024273,1
2008,1,3,1155,1555,240.0,LAS,AMA,758,387.2795769236158,0
2008,1,3,1240,1720,280.0,LAS,AUS,1090,816.6153612013431,0
2008,1,3,2015,50,275.0,LAS,AUS,1090,441.81260422730975,1
2008,1,3,850,1330,280.0,LAS,AUS,1090,574.8983029707495,0
2008,1,3,1640,25,465.0,LAS,BDL,2298,508.6349948187906,1
2008,1,3,905,1430,325.0,LAS,BHM,1618,1650.1112967898837,0
2008,1,3,815,1340,325.0,LAS,BNA,1588,170.37237650486813,0
2008,1,3,1240,1810,330.0,LAS,BNA,1588,1807.1803479679556,0
2008,1,3,1440,2010,330.0,LAS,BNA,1588,396.36869016329274,0
2008,1,3,1930,55,325.0,LAS,BNA,1588,395.08817594768294,1
2008,1,3,920,1210,170.0,LAS,BOI,520,1343.5130131857516,0
2008,1,3,1535,1825,170.0,LAS,BOI,520,421.70793162194536,0
2008,1,3,1715,25,430.0,LAS,BUF,1987,1506.4120273162696,0
2008,1,3,825,925,60.0,LAS,BUR,223,632.9402041633558,1
2008,1,3,2015,2115,60.0,LAS,BUR,223,324.99733963001916,1
2008,1,3,1740,1840,60.0,LAS,BUR,223,1483.3244300572378,1
2008,1,3,650,750,60.0,LAS,BUR,223,999.7457409140483,1
2008,1,3,2055,2155,60.0,LAS,BUR,223,1697.0286715056195,1
2008,1,3,1910,2010,60.0,LAS,BUR,223,440.14899470793193,1
2008,1,3,1355,1500,65.0,LAS,BUR,223,283.14645268671904,1
2008,1,3,1050,1155,65.0,LAS,BUR,223,1751.1404169447096,1
2008,1,3,1250,1355,65.0,LAS,BUR,223,1082.4742300766532,0
2008,1,3,1630,1740,70.0,LAS,BUR,223,1340.6811214498027,0
2008,1,3,915,1020,65.0,LAS,BUR,223,611.8810048836799,1
2008,1,3,1220,1325,65.0,LAS,BUR,223,1820.246410408166,0
2008,1,3,1455,1555,60.0,LAS,BUR,223,1830.34404412313,0
2008,1,3,845,1610,445.0,LAS,BWI,2106,797.0388369103235,1
2008,1,3,1730,50,440.0,LAS,BWI,2106,1093.6359492217669,0
2008,1,3,1245,2015,450.0,LAS,BWI,2106,671.9291060121317,0
2008,1,3,945,1645,420.0,LAS,CLE,1825,89.9273244709193,1
2008,1,3,1740,30,410.0,LAS,CMH,1772,1779.6762829279055,0
2008,1,3,1200,1850,410.0,LAS,CMH,1772,620.1908893281745,1
2008,1,3,700,955,175.0,LAS,DEN,629,494.08035667520886,0
2008,1,3,1030,1320,170.0,LAS,DEN,629,108.70107284939074,0
2008,1,3,2115,5,170.0,LAS,DEN,629,1317.13606504545,0
2008,1,3,1315,1610,175.0,LAS,DEN,629,296.6193782747456,0
2008,1,3,1955,2245,170.0,LAS,DEN,629,661.2629579973965,1
2008,1,3,1425,1720,175.0,LAS,DEN,629,1050.220044439496,1
2008,1,3,1600,1900,180.0,LAS,DEN,629,290.1069033514986,0
2008,1,3,1710,1945,155.0,LAS,ELP,584,442.8925863442726,1
2008,1,3,1040,1320,160.0,LAS,ELP,584,930.6468020590486,0
2008,1,3,1050,1325,155.0,LAS,GEG,806,799.1789836074859,1
2008,1,3,1620,1850,150.0,LAS,GEG,806,743.8646781596087,1
2008,1,3,1735,2230,295.0,LAS,HOU,1235,1893.2622366467413,0
2008,1,3,1140,1640,300.0,LAS,HOU,1235,1254.9512127599742,0
2008,1,3,740,1235,295.0,LAS,HOU,1235,1024.457343405215,0
